"Year","Player","Snaps","Outside","LWR","RWR","Slot","Backfield","Behind LOS","On LOS"
"2023","Adonai Mitchell","593","83.0","39.3","43.7","15.5","1.5","17.2","82.8"
"2023","Brian Thomas Jr.","498","84.9","46.4","38.6","13.1","2.0","30.9","69.1"
"2023","Ja'Lynn Polk*","274","60.6","33.9","26.6","35.8","3.6","47.1","52.9"
"2023","Jalen McMillan*","249","12.0","4.0","8.0","83.1","4.8","77.5","22.5"
"2023","Javon Baker","440","78.2","70.7","7.5","21.1","0.7","12.3","87.7"
"2023","Jermaine Burton","379","82.6","35.9","46.7","15.3","2.1","29.8","70.2"
"2023","Keon Coleman","444","77.7","39.4","38.3","21.6","0.7","58.6","41.4"
"2023","Ladd McConkey","228","69.7","31.1","38.6","26.3","3.9","65.8","34.2"
"2023","Malik Nabers","467","48.6","22.5","26.1","50.3","1.1","48.0","52.0"
"2023","Marvin Harrison Jr.","459","78.9","38.6","40.3","19.8","1.3","21.1","78.9"
"2023","Ricky Pearsall","556","43.9","22.3","21.6","51.4","4.7","56.3","43.7"
"2023","Roman Wilson","334","29.9","12.0","18.0","65.6","4.5","64.1","35.9"
"2023","Rome Odunze","469","84.0","39.2","44.8","12.6","3.4","32.6","67.4"
"2023","Troy Franklin","452","85.2","45.8","39.4","13.7","1.1","20.1","79.9"
"2023","Xavier Legette*","282","67.0","45.4","21.6","26.6","6.4","37.6","62.4"
"2023","Xavier Worthy","499","59.1","27.5","31.7","36.1","4.8","47.9","52.1"