"Player","Pressure Rate","Pressure SR","PA Rate","PA SR","RPO Rate","RPO SR","OOP Rate","OOP SR","3rd/4th SR","3rd/4th Conv%","RZ SR"
"Aaron Rodgers","14.40%","40.00%","21.40%","75.00%","11.52%","85.71%","13.17%","53.13%","67.21%","37.70","68.42%"
"Brock Purdy","19.51%","45.83%","26.02%","75.00%","0.81%","100.00%","17.89%","63.64%","67.65%","44.18","84.62%"
"Dak Prescott","21.19%","61.40%","27.14%","75.34%","2.23%","83.33%","13.75%","72.97%","64.38%","47.95","83.33%"
"Daniel Jones","33.20%","52.44%","24.29%","75.00%","6.48%","87.50%","18.62%","60.87%","57.89%","38.16","77.78%"
"Derek Carr","22.46%","51.61%","20.29%","67.86%","0.36%","100.00%","9.78%","44.44%","71.60%","48.15","51.85%"
"Desmond Ridder","21.24%","66.67%","45.13%","56.86%","0.88%","0.00%","15.93%","66.67%","71.43%","51.43","61.11%"
"Geno Smith","23.90%","58.33%","26.29%","77.27%","3.59%","77.78%","18.33%","71.74%","72.13%","45.90","67.65%"
"Jalen Hurts","18.75%","42.86%","24.55%","69.09%","12.50%","75.00%","18.30%","53.66%","79.55%","56.82","57.14%"
"Jared Goff","18.48%","39.22%","25.72%","74.65%","1.81%","100.00%","10.14%","42.86%","65.82%","40.51","63.41%"
"Joe Burrow","17.87%","57.69%","10.31%","50.00%","4.47%","69.23%","7.90%","60.87%","71.23%","50.68","82.50%"
"Josh Allen","22.91%","60.32%","18.55%","78.43%","6.18%","76.47%","14.91%","70.73%","68.85%","47.54","61.36%"
"Justin Fields","22.29%","51.28%","28.57%","62.00%","8.57%","80.00%","28.00%","63.27%","70.37%","46.30","52.94%"
"Justin Herbert","27.54%","59.52%","27.87%","81.18%","5.25%","93.75%","18.36%","64.29%","71.95%","43.90","58.54%"
"Kenny Pickett","23.53%","51.67%","13.33%","50.00%","2.35%","83.33%","22.35%","57.89%","69.14%","45.68","40.54%"
"Kirk Cousins","20.45%","50.00%","29.17%","76.62%","1.89%","100.00%","12.50%","69.70%","76.71%","47.95","67.39%"
"Kyler Murray","14.06%","31.82%","14.70%","73.91%","4.15%","84.62%","9.58%","40.00%","56.98%","31.40","68.42%"
"Lamar Jackson","24.38%","40.68%","30.17%","69.86%","7.85%","100.00%","15.29%","48.65%","65.57%","34.43","56.76%"
"Mac Jones","16.15%","54.76%","15.77%","73.17%","4.62%","83.33%","8.85%","60.87%","70.42%","40.85","62.96%"
"Matthew Stafford","14.18%","51.35%","25.29%","71.21%","4.60%","100.00%","11.88%","54.84%","62.12%","46.97","55.26%"
"Patrick Mahomes","25.37%","47.83%","17.65%","70.83%","6.99%","84.21%","19.85%","50.00%","66.67%","52.17","62.16%"
"Russell Wilson","20.25%","57.14%","18.18%","72.73%","1.24%","66.67%","16.94%","51.22%","60.56%","33.80","78.26%"
"Ryan Tannehill","21.24%","60.42%","27.88%","76.19%","1.33%","100.00%","5.75%","61.54%","60.94%","43.75","71.79%"
"Trevor Lawrence","19.64%","57.41%","16.73%","71.74%","5.45%","86.67%","10.18%","50.00%","75.61%","47.56","59.52%"
"Tua Tagovailoa","14.17%","41.67%","41.73%","68.87%","7.87%","85.00%","12.99%","69.70%","71.05%","47.37","80.77%"