"Year","Player","Total Routes","Screen","Slant","Curl","Dig","Post","Nine","Corner","Out","Comeback","Flat","Other"
"2021","A.T. Perry*","152","0.0","11.8","29.6","18.4","9.2","21.1","3.9","2.0","0.0","1.3","2.6"
"2021","Cedric Tillman*","172","5.2","11.0","39.0","7.0","9.3","20.3","2.3","4.7","0.6","0.0","0.6"
"2022","Jalin Hyatt","271","9.6","11.8","20.3","16.2","8.1","16.6","0.7","4.1","1.8","8.5","2.2"
"2021","Jaxon Smith-Njigba*","248","4.8","18.5","10.1","21.8","8.5","11.3","5.2","6.0","1.6","8.9","3.2"
"2022","Jayden Reed*","160","11.9","15.6","20.6","8.1","3.1","19.4","8.8","4.4","0.6","5.6","1.9"
"2022","Jonathan Mingo","189","7.9","10.6","31.2","12.2","11.6","17.5","2.1","4.2","0.5","1.6","0.5"
"2022","Jordan Addison","216","11.1","12.0","19.0","8.8","9.7","19.4","5.1","5.6","2.3","4.2","2.8"
"2022","Josh Downs","326","9.2","16.0","13.5","8.0","10.7","8.6","4.3","9.2","1.8","14.4","4.3"
"2022","Marvin Mims*","139","5.8","18.0","16.5","3.6","18.0","16.5","5.0","5.8","2.2","5.8","2.9"
"2022","Quentin Johnston","206","9.7","20.4","19.4","8.7","10.7","17.5","4.4","3.9","2.9","1.0","1.5"
"2022","Rashee Rice*","182","4.4","15.4","28.6","7.7","4.4","27.5","2.7","2.2","2.2","3.3","1.6"
"2022","Tank Dell","261","5.4","14.2","17.6","10.0","4.6","8.4","8.0","9.2","1.9","14.9","5.7"
"2022","Xavier Hutchinson*","126","10.3","25.4","12.7","5.6","5.6","17.5","4.0","6.3","6.3","3.2","3.2"
"2022","Zay Flowers","305","9.2","17.0","13.1","9.2","9.5","16.4","4.3","9.2","3.9","3.6","4.6"