"Year","Player","Total Routes","Route Target Rate","Route Catch Rate","Targets","Catch Rate","Drop Rate"
"2023","Adonai Mitchell","264","25.0","15.5","66","62.1","3.0"
"2023","Brian Thomas Jr.","280","24.6","17.1","69","69.6","2.9"
"2023","Ja'Lynn Polk*","172","25.0","15.7","43","62.8","0.0"
"2023","Jalen McMillan*","177","26.6","18.1","47","68.1","2.1"
"2023","Javon Baker","219","28.8","15.5","63","54.0","4.8"
"2023","Jermaine Burton","198","21.7","15.2","43","69.8","2.3"
"2023","Keon Coleman","245","28.2","16.3","69","58.0","2.9"
"2023","Ladd McConkey","133","26.3","21.1","35","80.0","0.0"
"2023","Malik Nabers","281","33.1","23.1","93","69.9","5.4"
"2023","Marvin Harrison Jr.","238","30.7","18.5","73","60.3","1.4"
"2023","Ricky Pearsall","281","26.3","18.5","74","70.3","1.4"
"2023","Roman Wilson","164","25.0","18.3","41","73.2","2.4"
"2023","Rome Odunze","286","26.9","18.2","77","67.5","0.0"
"2023","Troy Franklin","229","28.8","21.4","66","74.2","7.6"
"2023","Xavier Legette*","160","23.8","16.9","38","71.1","2.6"
"2023","Xavier Worthy","262","28.2","17.6","74","62.2","6.8"